id,lat_start,lon_start,id_end,lat_end,lon_end
407681504,37.8799335,-122.2608531,4295642335,37.8799416,-122.2604947
4295642335,37.8799416,-122.2604947,53081606,37.8799227,-122.2603313
2327822491,37.8745901,-122.2639232,339928545,37.8746905,-122.2638397
339928545,37.8746905,-122.2638397,4294292312,37.8747258,-122.2638266
4294292312,37.8747258,-122.2638266,231029119,37.8747633,-122.2638003
231029119,37.8747633,-122.2638003,2010268535,37.8757955,-122.2628697
2010268535,37.8757955,-122.2628697,8417814507,37.8761444,-122.2625524
8417814507,37.8761444,-122.2625524,2010214231,37.876168,-122.2625311
2010214231,37.876168,-122.2625311,2010214253,37.876276,-122.2624316
2010214253,37.876276,-122.2624316,2010214229,37.8763861,-122.2623334
2010214229,37.8763861,-122.2623334,8417814509,37.8764079,-122.2623125
8417814509,37.8764079,-122.2623125,339928557,37.8765785,-122.262152
339928557,37.8765785,-122.262152,53107078,37.8766776,-122.2620425
53107078,37.8766776,-122.2620425,59794899,37.8767529,-122.2619058
59794899,37.8767529,-122.2619058,249237386,37.8767938,-122.2617398
249237386,37.8767938,-122.2617398,1954704140,37.876921,-122.2607736
1954704140,37.876921,-122.2607736,4294292321,37.8769406,-122.2606283
4294292321,37.8769406,-122.2606283,53107080,37.8769518,-122.2605419
53107080,37.8769518,-122.2605419,4294292322,37.8769626,-122.260458
4294292322,37.8769626,-122.260458,1954561464,37.8770422,-122.2598524
1954561464,37.8770422,-122.2598524,1954579342,37.8770906,-122.2594845
1954579342,37.8770906,-122.2594845,4294292327,37.8771839,-122.2587745
4294292327,37.8771839,-122.2587745,53107081,37.8771936,-122.2587108
53107081,37.8771936,-122.2587108,4294292328,37.8772025,-122.2586418
4294292328,37.8772025,-122.2586418,239501147,37.8772364,-122.2583513
53056547,37.884432,-122.2652492,10696546959,37.8843786,-122.265243
10696546959,37.8843786,-122.265243,53082169,37.8830196,-122.2650855
53082169,37.8830196,-122.2650855,53082211,37.8826247,-122.2650352
53082211,37.8826247,-122.2650352,414247032,37.8824792,-122.2650174
414247032,37.8824792,-122.2650174,414246942,37.8822204,-122.2649877
414246942,37.8822204,-122.2649877,414246849,37.8820118,-122.2649637
414246849,37.8820118,-122.2649637,8417814487,37.8808893,-122.2648429
8417814487,37.8808893,-122.2648429,8417814491,37.8808722,-122.2648409
8417814491,37.8808722,-122.2648409,53146430,37.8808075,-122.2648333
53146430,37.8808075,-122.2648333,8417814493,37.880747,-122.2648263
8417814493,37.880747,-122.2648263,8417814489,37.8807283,-122.2648242
8417814489,37.8807283,-122.2648242,2976013638,37.8805388,-122.2647999
2976013638,37.8805388,-122.2647999,5483072348,37.8797876,-122.2647165
5483072348,37.8797876,-122.2647165,5483072350,37.8796077,-122.2646965
5483072350,37.8796077,-122.2646965,5483072354,37.879576,-122.264693
5483072354,37.879576,-122.264693,8417814495,37.8790804,-122.264638
8417814495,37.8790804,-122.264638,11865812615,37.8790742,-122.2646374
11865812615,37.8790742,-122.2646374,53149260,37.8790059,-122.2646302
53147192,37.8865707,-122.2623738,4295642367,37.8864734,-122.2624005
4295642367,37.8864734,-122.2624005,6975590864,37.8864401,-122.2624096
6975590864,37.8864401,-122.2624096,262257195,37.8863182,-122.2624412
262257195,37.8863182,-122.2624412,6975590863,37.8862835,-122.2624503
6975590863,37.8862835,-122.2624503,354687122,37.88622,-122.2624671
354687122,37.88622,-122.2624671,339928423,37.8860531,-122.2625121
339928423,37.8860531,-122.2625121,339928424,37.8857975,-122.2625772
339928424,37.8857975,-122.2625772,4295642362,37.8855719,-122.2626428
4295642362,37.8855719,-122.2626428,262257197,37.8855118,-122.262659
262257197,37.8855118,-122.262659,262257220,37.8852076,-122.262742
262257220,37.8852076,-122.262742,6342662129,37.8851597,-122.2627551
6342662129,37.8851597,-122.2627551,53149314,37.8850243,-122.2627893
53149314,37.8850243,-122.2627893,10777610269,37.8849579,-122.2628053
10777610269,37.8849579,-122.2628053,59794877,37.8848911,-122.2628148
59794877,37.8848911,-122.2628148,59794880,37.8847528,-122.2628178
59794880,37.8847528,-122.2628178,10777610270,37.8846845,-122.2628164
10777610270,37.8846845,-122.2628164,311402996,37.8846163,-122.262803
311402996,37.8846163,-122.262803,10777610271,37.88453,-122.2627855
10777610271,37.88453,-122.2627855,339928425,37.8844462,-122.2627602
339928425,37.8844462,-122.2627602,6975590843,37.8844117,-122.2627447
6975590843,37.8844117,-122.2627447,4295642361,37.8843938,-122.2627364
4295642361,37.8843938,-122.2627364,6975590844,37.8843668,-122.2627239
6975590844,37.8843668,-122.2627239,53147299,37.8843371,-122.2627101
53147299,37.8843371,-122.2627101,10777610277,37.8842791,-122.2626796
10777610277,37.8842791,-122.2626796,262257196,37.8842224,-122.2626382
262257196,37.8842224,-122.2626382,792213630,37.8841021,-122.2625366
792213630,37.8841021,-122.2625366,7707998648,37.8834238,-122.2619393
7707998648,37.8834238,-122.2619393,53119366,37.883355,-122.2618809
53119366,37.883355,-122.2618809,7914964758,37.8832584,-122.2618058
7914964758,37.8832584,-122.2618058,6975590845,37.8831431,-122.2617117
6975590845,37.8831431,-122.2617117,53100225,37.883102,-122.2616749
53100225,37.883102,-122.2616749,6975590846,37.8830889,-122.2616655
6975590846,37.8830889,-122.2616655,269301315,37.8830641,-122.2616553
269301315,37.8830641,-122.2616553,258757145,37.8830274,-122.2616466
258757145,37.8830274,-122.2616466,317112357,37.8829549,-122.2616336
317112357,37.8829549,-122.2616336,280430156,37.8826648,-122.2616009
280430156,37.8826648,-122.2616009,10777610299,37.8825169,-122.261586
10777610299,37.8825169,-122.261586,9451650039,37.8824218,-122.2615756
9451650039,37.8824218,-122.2615756,10777610301,37.8823833,-122.2615711
10777610301,37.8823833,-122.2615711,10777610303,37.8823656,-122.261569
10777610303,37.8823656,-122.261569,9451650041,37.8819473,-122.2615257
9451650041,37.8819473,-122.2615257,4295642355,37.8818866,-122.2615194
4295642355,37.8818866,-122.2615194,6975590857,37.8817294,-122.2615032
6975590857,37.8817294,-122.2615032,10777610311,37.8815864,-122.2614889
10777610311,37.8815864,-122.2614889,6975590856,37.8812496,-122.2614525
6975590856,37.8812496,-122.2614525,53077480,37.8812436,-122.2614523
53077480,37.8812436,-122.2614523,10777610315,37.88111,-122.2614457
10777610315,37.88111,-122.2614457,239527371,37.8809764,-122.2614483
239527371,37.8809764,-122.2614483,269301292,37.8808944,-122.2614642
269301292,37.8808944,-122.2614642,269301293,37.880764,-122.2615012
269301293,37.880764,-122.2615012,4295642345,37.8807048,-122.2615156
4295642345,37.8807048,-122.2615156,59794883,37.8806637,-122.261521
59794883,37.8806637,-122.261521,6975590858,37.8806177,-122.2615238
6975590858,37.8806177,-122.2615238,4295642340,37.880502,-122.2615181
4295642340,37.880502,-122.2615181,53080870,37.8804469,-122.2615056
53080870,37.8804469,-122.2615056,269301300,37.8801532,-122.2614348
269301300,37.8801532,-122.2614348,10777610331,37.8800267,-122.2614108
